SR.NO,Name,Email,Phone Number,Address,City,State,pincode,Country
1,Priya Singh,priya.singh@gmail.com,9.19877E+11,1234 Elm St,Mumbai,Maharashtra,400001,India
2,Rajesh Kumar,rajesh.kumar@gmail.com,9.19765E+11,5678 Oak Ave,Delhi,Delhi,110001,India
3,Amit Patel,amit.patel@gmail.com,9.19877E+11,9101 Pine Blvd,Bangalore,Karnataka,560001,India
4,Neha Sharma,neha.sharma@gmail.com,9.19678E+11,1122 Maple Dr,Chennai,Tamil Nadu,600001,India
5,Ravi Mehta,ravi.mehta@gmail.com,9.19546E+11,2233 Cedar Ln,Mumbai,Maharashtra,400002,India
6,Sunita Reddy,sunita.reddy@gmail.com,9.19456E+11,3344 Birch Way,Delhi,Delhi,110002,India
7,Mohit Gupta,mohit.gupta@gmail.com,9.19432E+11,4455 Fir Ct,Bangalore,Karnataka,560002,India
8,Aarti Desai,aarti.desai@gmail.com,9.19321E+11,5566 Spruce St,Chennai,Tamil Nadu,600002,India
9,Karan Mehta,karan.mehta@gmail.com,9.19213E+11,6677 Redwood Dr,Mumbai,Maharashtra,400003,India
10,Suman Sharma,suman.sharma@gmail.com,9.19309E+11,7788 Oakwood Ave,Delhi,Delhi,110003,India
11,Vijay Kumar,vijay.kumar@gmail.com,9.19215E+11,8899 Walnut St,Bangalore,Karnataka,560003,India
12,Rekha Patel,rekha.patel@gmail.com,9.19203E+11,9900 Ash St,Chennai,Tamil Nadu,600003,India
13,Deepak Sharma,deepak.sharma@gmail.com,9.19346E+11,1010 Cypress Ave,Mumbai,Maharashtra,400004,India
14,Asha Gupta,asha.gupta@gmail.com,9.19123E+11,1122 Cedar Ln,Delhi,Delhi,110004,India
15,Rajni Desai,rajni.desai@gmail.com,9.19457E+11,1234 Elm St,Bangalore,Karnataka,560004,India
16,Alok Sharma,alok.sharma@gmail.com,9.19568E+11,5678 Pine Ave,Chennai,Tamil Nadu,600004,India
17,Sushma Gupta,sushma.gupta@gmail.com,9.19679E+11,9101 Maple Dr,Mumbai,Maharashtra,400005,India
18,Ramesh Kumar,ramesh.kumar@gmail.com,9.19789E+11,1122 Oakwood Ave,Delhi,Delhi,110005,India
19,Neelam Desai,neelam.desai@gmail.com,9.1989E+11,2233 Walnut St,Bangalore,Karnataka,560005,India
20,Sonali Sharma,sonali.sharma@gmail.com,9.19901E+11,3344 Cedar Ln,Chennai,Tamil Nadu,600005,India
21,Rajesh Patel,rajesh.patel@gmail.com,9.19412E+11,4455 Fir Ct,Mumbai,Maharashtra,400006,India
22,Geeta Reddy,geeta.reddy@gmail.com,9.19123E+11,5566 Ashwood Dr,Delhi,Delhi,110006,India
23,Mohan Gupta,mohan.gupta@gmail.com,9.19235E+11,6677 Birch Way,Bangalore,Karnataka,560006,India
24,Rina Sharma,rina.sharma@gmail.com,9.19346E+11,7788 Redwood Dr,Chennai,Tamil Nadu,600006,India
25,Pankaj Mehta,pankaj.mehta@gmail.com,9.19457E+11,8899 Pine Ave,Mumbai,Maharashtra,400007,India
26,Rani Patel,rani.patel@gmail.com,9.19568E+11,9900 Oakwood Ave,Delhi,Delhi,110007,India
27,Suman Reddy,suman.reddy@gmail.com,9.19679E+11,1010 Elm St,Bangalore,Karnataka,560007,India
